the other	(ten) druhý
in order	aby
though	ačkoliv
Africa	Afrika
America	Amerika
neither nor	ani ani
Asia	Asie
no matter how hard we try	ať se snažíme jak chceme
garage hand	automechanik
parcel	balíček
balloon	balón
coloured people	barevní lidé
fear	bát se
battery	baterie
cotton	bavlna
during	během
without	bez
biology	biologie
beat	bít
to congratulate	blahopřát
flash	blesk
point	bod
rich	bohatý
wealthy	bohatý
struggle	boj
fight	bojovat
sore	bolavý
toothache	bolení zubů
ache	bolest
potato	brambor
wicket	branka
paperback	brožovaná kniha
soon	brzy
alarm clock	budík
future	budoucnost
Bulgaria	Bulharsko
blazer	bunda sportovní
bright-eyed	bystro-oký
flat	byt
be on	být na programu
be married	být ženatý
rag	cár
whole	celý
valuable	cenný
part	část
Bohemia	Čechy
waiting room	čekárna
wait	čekat
fresh	čerstvý
do hair	česat se
to read	číst
brush	čistit
member	člen
man	člověk
motorway	dálnice
present	dárek
to advertise	dát inzerát
prefer (to)	dávat přednost (před)
granddad	dědeček
history	dějepis
working class	dělnická třída
pest controller	deratizátor
rain	déšť
rainy	deštivý
workshop	dílna
hole	díra
discussion	diskuse
theatre	divadlo
strange	divný
O. K.	dobrá
well-kept	dobře udržovaný
keep	dodržovat
keep the rule	dodržuj pravidlo
even	dokonce
while	dokud
till it's time	dokud není čas
down	dolů
to recommend	doporučit
to deliver	doručit
reach	dosáhnout
adult	dospělý
to get time off	dostat volno
sufficient	dostatečný
scrub	drhnout
crumb	drobek
kind	druh
satellite	družice
keep	držet
wood	dřevo
pension	důchod
important	důležitý
house	dům
the Danube	Dunaj
stretchsuit	dupačky
yard	dvůr
Europe	Evropa
blow	foukat
queue	fronta
gallery	galérie
hungry	hladový
voice	hlas
head	hlava
deep	hluboký
insect	hmyz
good	hodný
shave	holit se
player	hráč
toy	hračka
peas	hrášek
throat	hrdlo
stick	hůl
surgery	chirurgie
fellow	chlapík
bread crumbs	chlebové drobečky
boaster	chlubil
keep	chovat
will	chtít
to collect dust	chytat prach
as	jako
clear	jasný
language	jazyk
supper's over	je po večeři
single	jednotlivý
once	jednou
lamb	jehně
if	jestliže
lake	jezero
canteen	jídelna
food	jídlo
south	jih
others	jiní
different	jiný
another	jiný další
timetable	jízdní řád
calendar	kalendář
stone	kámen
stoves	kamna
pocket	kapsa
hood	kapuce
brush	kartáč
toothbrush	kartáček na zuby
catalogue	katalog
each	každý
everybody	každý
whenever	kdykoli
bush	keř
cage	klec
knock	klepat
rap	klepat
pincers	kleště
still	klidný
hat	klobouk
to slide	klouzat
gliding	klouzavý
club	klub
ice rink	kluziště
grasshopper	kobylka luční
pussy	kočička
cake	koláč
pie	koláč
roll along	kolébat se
wheelbarrow	kolečko
around	kolem
chimney	komín
finish	končit
strife	konflikt
to contact	kontaktovat
hill	kopec
cosmonaut	kosmonaut
shirt	košile
bowl	koulet
lump	kousek
corner	kout
fur	kožešina
cut	krájet
rabbit	králík
fair lady	krásná paní
figure skating	krasobruslení
tie	kravata
cricket	kriket
throat	krk
turkey	krocan
apart from	kromě jinak
mole	krtek
circle	kruh
cry	křičet
chalk	křída
wings	křídla
round	kulatý
cultural	kulturní
nod	kývnout
the Elbe	Labe
lamp	lampa
rope	lano
polar bear	lední medvěd
wood	les
speed	letět
lion	lev
leaves	listy
literature	literatura
meadow	louka
puddle	louže
bedroom	ložnice
skiing	lyžování
I am fond of	mám rád
demonstration	manifestace
wife	manželka
meat	maso
wave	mávat
bear	medvěd
month	měsíc
Moon	Měsíc
the Moon	Měsíc
among	mezi
interschool	meziškolní
past	minulost
peace	mír
peaceful	mírumilovný
room	místnost
be fond of	mít rád
farewell	mít se dobře
much closer	mnohem blíž
plenty	mnoho
cellular phone	mobilní telefon
might	moc
sea	moře
wise	moudrý
freeze	mrznout
soap	mýdlo
mouse	myš
mice	myši
mice	myši
charger	nabíječka
hope	naděje
replace	nahradit
birth	narození
wall poster	nástěnka
platform	nástupiště
trailer	návěs
attend	navštěvovat
for	neboť
to leave left left over	nechat odložit (na později)
to keep	nechat si
to take a while	nějakou chvíli trvat
closest	nejblíže
few	několik
ill	nemocný
foe	nepřítel
absent	nepřítomný
have not won	neuspěl jsi
never mind	nevadí
gently	něžně
nobody	nikdo
never we part	nikdy se nerozloučíme
plain	nížina
night	noc
wear	nosit
newspaper ad	novinový inzerát
dull	nudný
knife	nůž
receive	obdržet
lunch	oběd
picnic	oběd v přírodě
store	obchod
clothes	oblečení
favourite	oblíbený
popular	oblíbený
usual	obvyklý
population	obyvatelstvo
especially	obzvláště
it was due	očekávalo se
since	od (té doby)
drive away	odhánět
to clear	odklidit
different	odlišný
to put down	odložit
to resist	odolávat
wash away	odplavat
reflect	odrážet
badge	odznak
bend	ohnout
willing	ochotný
eaves	okap
monkey	opice
actually	opravdu
to leave,left,left	opustit,odejít,odjet
nut	ořech
celebration	oslava
in person	osobně
the others	ostatní
illuminate	osvětlovat
turn	otočit
annoying	otravný
sheep	ovce
o'er	over
atmosphere	ovzduší
notice	oznámení
firewood	palivové dříví
bat	pálka
dandelion	pampeliška
sir	pane
ray	paprsek
mousetrap	past na myši
roast	péci
care	péče
pretty	pěkný
form	pelech
foam	pěna
on foot	pěšky
saw	pila
shy	plachý
cry	plakat
placard	plakát
wall poster	plakát
planet	planeta
plan	plánovat
coat	plášť
raincoat	plášť do deště
fill	plnit
seedy	plný semen
area	plocha
waste	plýtvat
by twos	po dvou
in ones	po jednom
along	podél
attic	podkroví
saucer	podšálek
escalator	pohyblivé schody
sliding	pohyblivý
to carry on	pokračovat
trying, trying	pokusy, zkoušení
polar	polární
soup	polévka
to put down	položit
Poland	Polsko
slow	pomalý
rather a lot	poměrně dost
cuddly	pomilováníhodný
Cinderella	Popelka
maternity hospital	porodnice
to listen to	poslouchat (něco)
bed	postel
pleasure	potěšení
please	potěšit
fuss	povyk
background	pozadí
later	později
mind	pozor
fireman	požárník
work	práce
duster	prachovka
probably	pravděpodobně
just	právě
rule	pravidlo
empty	prázdný
pass	procházet
speech	proslov
lay the table	prostřít stůl
up stream	proti proudu
foe	protivník
that's why	proto
to examine	prozkoumat
industrial	průmyslový
to wish	přát si
friendly	přátelští
before	před
outskirts	předměstí
subject	předmět
to suppose	předpokládat
performance	představení
introduce	představovat
cross	přejít
exactly	přesně
break	přestávka
leap year	přestupný rok
arrive	přijet
driveway	příjezdová cesta
chance	příležitost
straight	přímo
straight	přímý
fetch	přinést
fix	připevnit
ready	připravený
port	přístav
next time	příště
to attract	přitahovat
ground floor	přízemí
write	psát
to write wrote written	psát
birdhouse	ptačí budka
bird	pták
pudding	pudink
stocking	punčocha
tights	punčocháče
proud	pyšný
glad	rád
cheerful	radostný
rocket	raketa
saying	rčení
spare	rezervní
wall bars	ribstoly
corner	roh
roll	rohlík
year	rok
shed	ronit
cuddly	roztomilý
various	různý
rose-bush flower	růžový květ
fish	ryba
quickly	rychle
rank	řada
pile-up	řetězová srážka
October	říjen
rhyme	říkadlo
driving	řízení
blazer	sako
collector	sběratel
nutting	sbírání oříšků
collect	sbírat
collection	sbírka
farewell	sbohem
to pick	sebrat
north	sever
close	sevřený
cluster	shluknout
gather	shromáždit
stair	schodiště
meeting	schůzka
might	síla
grow stronger	sílit
hop	skákat
leap	skákat
to snap up	skoupit
